dataset,feature,pearson_mean_abs,pearson_max_abs,spearman_mean_abs,spearman_max_abs,rf_importance_raw,rf_importance_norm,redundancy_mean_abs,redundancy_max_abs,high_redundancy,spearman_pearson_gap,possible_nonlinear_relation,correlation_strength,physical_score,redundancy_penalty,dp_fsm_score,feature_level,selection_decision,rank
rea,h_gap,0.06258626084625556,0.1125083461256555,0.05763825202165278,0.1182357054342773,0.013024654385419266,0.024739776646625838,0.014289510130213822,0.033193075892567765,False,0.004948008824602779,False,0.06011225643395417,0.5,0.014289510130213822,0.17402665891115263,low_priority,optional_drop_or_compare,3
rea,gamma_frac,0.017315112146555418,0.04050381697975444,0.019043223962159347,0.03481742472091855,0.015170936166269229,0.02881654753878807,0.016258945073534502,0.033193075892567765,False,0.001728111815603929,False,0.018179168054357382,0.5,0.016258945073534502,0.16247282017059017,low_priority,optional_drop_or_compare,4
powery,CR4,0.3342688442459986,0.9368555864576507,0.3295927774492488,0.9385849465849468,0.18838695065372504,1.0,0.029962213319622462,0.06624565884616714,False,0.0046760667967498115,False,0.3319308108476237,0.5,0.029962213319622462,0.5465830219223249,candidate,keep_candidate,1
powery,CR3,0.3453894428205183,0.9304045056801045,0.33725946952499014,0.9362501762501763,0.1821502307746702,0.9668940982514305,0.02624619106919099,0.05296560288424837,False,0.00812997329552817,False,0.3413244561727542,0.5,0.02624619106919099,0.5398409472203363,candidate,keep_candidate,2
powery,CR2,0.3356657242157531,0.9175869176349156,0.32893726865382855,0.9211380451380452,0.18138333986503152,0.9628232700598944,0.03137347198262743,0.06624565884616714,False,0.006728455561924529,False,0.3323014964347908,0.5,0.03137347198262743,0.5354000827501427,candidate,keep_candidate,3
powery,CR5,0.3255931869492622,0.9127975256633507,0.3182894902204606,0.9168736488736489,0.1588365131460567,0.843139679234019,0.019232055845454905,0.04676797339220974,False,0.007303696728801601,False,0.3219413385848614,0.5,0.019232055845454905,0.49760109976111866,candidate,keep_candidate,4
powery,CR1,0.3197103668064753,0.9129332086484012,0.3124157914487478,0.9169698529698531,0.1586782431931273,0.8422995469829252,0.025610256671200482,0.05296560288424837,False,0.007294575357727484,False,0.31606307912761156,0.5,0.025610256671200482,0.49494776216604097,candidate,keep_candidate,5
powery,CR6,0.2969947045492661,0.9192366484377718,0.29055723149605234,0.9232515472515475,0.13056472236738936,0.6930667008214438,0.01870267502200331,0.033424488406265794,False,0.006437473053213738,False,0.2937759680226592,0.5,0.01870267502200331,0.4441825331510306,low_priority,optional_drop_or_compare,6
htgr,theta1,0.03338052694982033,0.06676105389964068,0.02667604144518095,0.05858386228932284,0.13923885332946376,1.0,0.026858818522491466,0.04683973345211064,False,0.0067044855046393785,True,0.030028284197500636,0.5,0.026858818522491466,0.45632260340700104,candidate,keep_candidate,1
htgr,theta8,0.03338052694982033,0.06676105389964067,0.02667604144518095,0.05858386228932284,0.1370974424117089,0.9846205935588402,0.026858818522491494,0.04683973345211094,False,0.0067044855046393785,True,0.030028284197500636,0.5,0.026858818522491494,0.4517087814746531,candidate,keep_candidate,2
htgr,theta5,0.03338052694982031,0.06676105389964065,0.02667604144518095,0.05858386228932284,0.1370746157066657,0.9844566543673189,0.026858818522491425,0.046839733452110684,False,0.006704485504639365,True,0.03002828419750063,0.5,0.026858818522491425,0.4516595997171967,candidate,keep_candidate,3
htgr,theta4,0.03338052694982034,0.06676105389964074,0.026676041445180945,0.05858386228932284,0.13573142640163516,0.9748099984741371,0.026858818522491442,0.04683973345211081,False,0.006704485504639396,True,0.030028284197500643,0.5,0.026858818522491442,0.44876560294924217,low_priority,optional_drop_or_compare,4
htgr,theta2,0.012899005351130194,0.025798010702260246,0.014635723407854654,0.024591609827745206,0.11424096776275657,0.8204675996034112,0.027616679175720242,0.04683973345211081,False,0.0017367180567244601,True,0.013767364379492424,0.5,0.027616679175720242,0.39750882127729903,low_priority,optional_drop_or_compare,5
htgr,theta3,0.012899005351130203,0.025798010702260288,0.014635723407854654,0.024591609827745206,0.11400944131901303,0.8188047990401538,0.027616679175720256,0.04683973345211064,False,0.0017367180567244515,True,0.013767364379492428,0.5,0.027616679175720256,0.3970099811083218,low_priority,optional_drop_or_compare,6
