dataset,feature,pearson_mean_abs,pearson_max_abs,spearman_mean_abs,spearman_max_abs,rf_importance_raw,rf_importance_norm,redundancy_mean_abs,redundancy_max_abs,high_redundancy,spearman_pearson_gap,possible_nonlinear_relation,correlation_strength,physical_score,redundancy_penalty,dp_fsm_score,feature_level,selection_decision,rank
chf,L (m),0.5531632351488186,0.5531632351488186,0.7011487711278035,0.7011487711278035,0.358630736269348,1.0,0.19064452250596492,0.32891626647116634,False,0.1479855359789849,False,0.627156003138311,1.0,0.19064452250596492,0.7690823486908969,core,keep_core,1
chf,Xe (-),0.5229593290245872,0.5229593290245872,0.5398035856574195,0.5398035856574195,0.2872706034726825,0.8010205886450548,0.33224790844838886,0.6185814998076784,False,0.01684425663283229,False,0.5313814573410034,1.0,0.33224790844838886,0.6664958229509785,core,keep_core,2
chf,G (kg m-2s-1),0.3737436064374462,0.3737436064374462,0.4071159343225495,0.4071159343225495,0.12907265225607656,0.3599040439164621,0.29457690165943007,0.6185814998076784,False,0.0333723278851033,False,0.3904297703799978,1.0,0.29457690165943007,0.4956424541229949,candidate,keep_candidate,3
chf,P (kPa),0.25810341981951934,0.25810341981951934,0.274580680860909,0.274580680860909,0.11541527315268417,0.3218220344226214,0.3417951264909739,0.6043480067704539,False,0.016477261041389635,False,0.2663420503402142,1.0,0.3417951264909739,0.44226971277975324,low_priority,protect_for_validation,4
chf,Tin (C),0.31559102959743696,0.31559102959743696,0.3141567509370802,0.3141567509370802,0.0863077115541998,0.2406589921767854,0.3174073849785543,0.6043480067704539,False,0.0014342786603567803,False,0.31487389026725854,1.0,0.3174073849785543,0.4349191262353578,low_priority,optional_drop_or_compare,5
chf,D (m),0.10779261533171515,0.10779261533171515,0.08329212315073972,0.08329212315073972,0.023303023295008968,0.0649777638621229,0.12257403619886582,0.2659007650777313,False,0.024500492180975428,False,0.09554236924122744,1.0,0.12257403619886582,0.3358986363111185,low_priority,optional_drop_or_compare,6
