dataset,feature,target,perturbation,mean_prediction_delta,normalized_mean_delta,response_direction,expected_direction,direction_consistent
fp,clad_T,max_fuel_centerline_temp,minus_10pct,-28.80212471203596,-0.15673574305995644,-1,0,False
fp,clad_T,max_fuel_surface_temp,minus_10pct,-14.836449088237838,-0.3684398185652677,-1,0,False
fp,clad_T,radial_clad_dia,minus_10pct,-8.779063887229828e-07,-0.21947659718074577,-1,0,False
fp,clad_T,fis_gas_produced,plus_10pct,-9.205946619122241e-10,-0.00011653096986230686,-1,0,False
fp,clad_T,max_fuel_centerline_temp,plus_10pct,24.140594465066478,0.13136857260430232,1,0,False
fp,clad_T,max_fuel_surface_temp,plus_10pct,12.435218037615313,0.3088090317534801,1,0,False
fp,clad_T,radial_clad_dia,plus_10pct,7.358200938417663e-07,0.18395502346044162,1,0,False
fp,pellet_h,fis_gas_produced,minus_10pct,-2.856161376490081e-06,-0.36153941474557993,-1,0,False
fp,pellet_h,max_fuel_centerline_temp,minus_10pct,0.603245519882131,0.003282748608015176,1,0,False
fp,pellet_h,max_fuel_surface_temp,minus_10pct,0.7357550232681405,0.018271315843108857,1,0,False
fp,pellet_h,radial_clad_dia,minus_10pct,1.9538770977935424e-08,0.004884692744483857,1,0,False
fp,pellet_h,fis_gas_produced,plus_10pct,2.6006114158957138e-06,0.3291913184678119,1,0,False
fp,pellet_h,max_fuel_centerline_temp,plus_10pct,-0.5492711996271595,-0.0029890305133989186,-1,0,False
fp,pellet_h,max_fuel_surface_temp,plus_10pct,-0.6699246508140689,-0.016636522346443215,-1,0,False
fp,pellet_h,radial_clad_dia,plus_10pct,-1.7790574186754595e-08,-0.00444764354668865,-1,0,False
rea,rod_worth,max_power,minus_10pct,-165.14277732880956,-0.12748203465193494,-1,-1,True
rea,rod_worth,burst_width,minus_10pct,0.12887303249165075,0.07834226899188496,1,1,True
rea,rod_worth,max_Tf,minus_10pct,-42.40977108954371,-0.15949519025778006,-1,-1,True
rea,rod_worth,avg_Tcool,minus_10pct,-0.759377267424542,-0.18012217473903702,-1,-1,True
rea,rod_worth,max_power,plus_10pct,239.61256304243216,0.18496901625915313,1,1,True
rea,rod_worth,burst_width,plus_10pct,-0.08474842672253077,-0.051518800439228435,-1,-1,True
rea,rod_worth,max_Tf,plus_10pct,37.29588844646012,0.14026283733155367,1,1,True
rea,rod_worth,avg_Tcool,plus_10pct,0.872462246626662,0.2069456171279398,1,1,True
rea,beta,max_power,minus_10pct,333.89955882751815,0.2577539013042242,1,1,True
rea,beta,burst_width,minus_10pct,-0.08354560152727221,-0.05078759971262748,-1,-1,True
rea,beta,max_Tf,minus_10pct,39.81533098844262,0.1497379879219354,1,0,False
rea,beta,avg_Tcool,minus_10pct,0.9157600820613826,0.21721574320959758,1,0,False
rea,beta,max_power,plus_10pct,-161.05600603386884,-0.12432724987561473,-1,-1,True
rea,beta,burst_width,plus_10pct,0.24415937906422294,0.14842515444633614,1,1,True
rea,beta,max_Tf,plus_10pct,-41.94932201358786,-0.15776352769307206,-1,0,False
rea,beta,avg_Tcool,plus_10pct,-0.7137678275013806,-0.16930374250514657,-1,0,False
rea,h_gap,max_power,minus_10pct,-0.737143191210768,-0.0005690379886143243,-1,0,False
rea,h_gap,burst_width,minus_10pct,-0.000383193335687769,-0.00023294427701384135,-1,0,False
rea,h_gap,max_Tf,minus_10pct,1.5480899964469834,0.005822075955046948,1,1,True
rea,h_gap,avg_Tcool,minus_10pct,-0.03319416012255005,-0.007873562412774829,-1,0,False
rea,h_gap,max_power,plus_10pct,0.9028227532074367,0.0006969343944106441,1,0,False
rea,h_gap,burst_width,plus_10pct,0.0002651488984130095,0.00016118474067660152,1,0,False
rea,h_gap,max_Tf,plus_10pct,-1.188710735833412,-0.004470517998621332,-1,-1,True
rea,h_gap,avg_Tcool,plus_10pct,0.030838265552982306,0.007314750776543441,1,0,False
powery,CR6,A-2,minus_10pct,47.362270702884196,0.08804646628815635,1,0,False
powery,CR6,B-1,minus_10pct,6.317675991015003,0.00969956975400889,1,0,False
powery,CR6,B-2,minus_10pct,41.594612162879805,0.06362788327492043,1,0,False
powery,CR6,B-4,minus_10pct,68.68970684602613,0.1089770451509356,1,0,False
powery,CR6,B-5,minus_10pct,60.54699863893371,0.10002525084913358,1,0,False
powery,CR6,B-7,minus_10pct,19.086365976969535,0.03026297864572288,1,0,False
powery,CR6,B-8,minus_10pct,-26.519384945297187,-0.04200193984573887,-1,0,False
powery,CR6,C-1,minus_10pct,-36.47156069492239,-0.02506847211778705,-1,0,False
powery,CR6,C-2,minus_10pct,14.921497332355175,0.009913548743016243,1,0,False
powery,CR6,C-3,minus_10pct,40.97530672519328,0.025462511143625036,1,0,False
powery,CR6,C-4,minus_10pct,55.05930592723416,0.04005155862480851,1,0,False
powery,CR6,C-5,minus_10pct,65.25877609160442,0.04801972435652554,1,0,False
powery,CR6,C-6,minus_10pct,67.02967399237376,0.04795094355606928,1,0,False
powery,CR6,C-7,minus_10pct,66.30609506379233,0.04387056603058427,1,0,False
powery,CR6,C-8,minus_10pct,65.54635003072184,0.042190925244490814,1,0,False
powery,CR6,C-9,minus_10pct,50.6792436755079,0.0384488292581217,1,0,False
powery,CR6,C-10,minus_10pct,38.270597688649104,0.03153112717595298,1,0,False
powery,CR6,C-11,minus_10pct,15.83849464335959,0.012349891502672907,1,0,False
powery,CR6,C-12,minus_10pct,-21.020939475402574,-0.016447555753812355,-1,0,False
powery,CR6,C-13,minus_10pct,-191.80282904878547,-0.12618114431170244,-1,0,False
powery,CR6,C-14,minus_10pct,-253.6185074831145,-0.1987854886810496,-1,0,False
powery,CR6,C-15,minus_10pct,-201.2893456652816,-0.1562043946339852,-1,0,False
powery,CR6,A-2,plus_10pct,-44.80348578529143,-0.08328968485344032,-1,0,False
powery,CR6,B-1,plus_10pct,-5.976358444366233,-0.009175542666089961,-1,0,False
powery,CR6,B-2,plus_10pct,-39.34742965503179,-0.06019033550438493,-1,0,False
powery,CR6,B-4,plus_10pct,-64.97868996986989,-0.10308947229267178,-1,0,False
powery,CR6,B-5,plus_10pct,-57.27589814853045,-0.09462130590618947,-1,0,False
powery,CR6,B-7,plus_10pct,-18.055209643695434,-0.028627996788415398,-1,0,False
powery,CR6,B-8,plus_10pct,25.08665376043591,0.03973275113092559,1,0,False
powery,CR6,C-1,plus_10pct,34.501155179260515,0.023714127669977873,1,0,False
powery,CR6,C-2,plus_10pct,-14.115351390547021,-0.009377961267436908,-1,0,False
powery,CR6,C-3,plus_10pct,-38.761582693676736,-0.024086878419276352,-1,0,False
powery,CR6,C-4,plus_10pct,-52.08468246664155,-0.037887740830299665,-1,0,False
powery,CR6,C-5,plus_10pct,-61.73311801977563,-0.04542541997443097,-1,0,False
powery,CR6,C-6,plus_10pct,-63.40834173153706,-0.04536035511225692,-1,0,False
powery,CR6,C-7,plus_10pct,-62.72385473882872,-0.04150042327730434,-1,0,False
powery,CR6,C-8,plus_10pct,-62.005155544629595,-0.03991152644091299,-1,0,False
powery,CR6,C-9,plus_10pct,-47.94125661476497,-0.03637160021177886,-1,0,False
powery,CR6,C-10,plus_10pct,-36.202997746761085,-0.02982763257032783,-1,0,False
powery,CR6,C-11,plus_10pct,-14.982807181391344,-0.011682678642267895,-1,0,False
powery,CR6,C-12,plus_10pct,19.88526624679607,0.015558963273563098,1,0,False
powery,CR6,C-13,plus_10pct,181.44052633740438,0.11936410610475426,1,0,False
powery,CR6,C-14,plus_10pct,239.91656283098294,0.1880459421448568,1,0,False
powery,CR6,C-15,plus_10pct,190.41452623376566,0.14776532608597295,1,0,False
powery,CR2,A-2,minus_10pct,26.738578188096636,0.049707019703515154,1,0,False
powery,CR2,B-1,minus_10pct,30.196826221882148,0.04636138711535501,1,0,False
powery,CR2,B-2,minus_10pct,-29.1065417611838,-0.0445247003257303,-1,0,False
powery,CR2,B-4,minus_10pct,5.655662411135272,0.008972776362524169,1,0,False
powery,CR2,B-5,minus_10pct,56.18898636654747,0.09282569875657566,1,0,False
powery,CR2,B-7,minus_10pct,81.36677084406475,0.1290136032965417,1,0,False
powery,CR2,B-8,minus_10pct,76.63635236802753,0.12137820951724444,1,0,False
powery,CR2,C-1,minus_10pct,22.570388894602,0.015513598922316279,1,0,False
powery,CR2,C-2,minus_10pct,-22.10692260164482,-0.014687403675921976,-1,0,False
powery,CR2,C-3,minus_10pct,-216.85676730779443,-0.13475720611873396,-1,0,False
powery,CR2,C-4,minus_10pct,-292.3644603499503,-0.21267344595647283,-1,0,False
powery,CR2,C-5,minus_10pct,-252.41709326147924,-0.18573745888640728,-1,0,False
powery,CR2,C-6,minus_10pct,-58.325042062758854,-0.04172392066497165,-1,0,False
powery,CR2,C-7,minus_10pct,13.144838834207876,0.008697111773551074,1,0,False
powery,CR2,C-8,minus_10pct,49.64062719681469,0.031952717278213055,1,0,False
powery,CR2,C-9,minus_10pct,70.40733323173619,0.05341594186526843,1,0,False
powery,CR2,C-10,minus_10pct,83.29506440707861,0.06862676382312591,1,0,False
powery,CR2,C-11,minus_10pct,84.52256773975478,0.06590553992774385,1,0,False
powery,CR2,C-12,minus_10pct,84.63840033864379,0.06622419564607372,1,0,False
powery,CR2,C-13,minus_10pct,80.7054688302942,0.05309362984749697,1,0,False
powery,CR2,C-14,minus_10pct,65.2210707839247,0.05112009591392689,1,0,False
powery,CR2,C-15,minus_10pct,51.24472284670163,0.03976688822748765,1,0,False
powery,CR2,A-2,plus_10pct,-24.995381802110295,-0.046466417436043295,-1,0,False
powery,CR2,B-1,plus_10pct,-28.228172617044294,-0.04333890020897316,-1,0,False
powery,CR2,B-2,plus_10pct,27.208968223438205,0.04162195448229135,1,0,False
powery,CR2,B-4,plus_10pct,-5.286946834484625,-0.008387804670410514,-1,0,False
powery,CR2,B-5,plus_10pct,-52.52579839606611,-0.0867740148764219,-1,0,False
powery,CR2,B-7,plus_10pct,-76.06214096146682,-0.12060268311119937,-1,0,False
powery,CR2,B-8,plus_10pct,-71.64011765639265,-0.11346507162787968,-1,0,False
powery,CR2,C-1,plus_10pct,-21.098933678299982,-0.014502204472514876,-1,0,False
powery,CR2,C-2,plus_10pct,20.665682633185426,0.013729872245967941,1,0,False
powery,CR2,C-3,plus_10pct,202.71899489564944,0.12597183716458424,1,0,False
powery,CR2,C-4,plus_10pct,273.30403510640474,0.19880840123425006,1,0,False
powery,CR2,C-5,plus_10pct,235.96099893816566,0.1736284804360412,1,0,False
powery,CR2,C-6,plus_10pct,54.52259595582355,0.03900376900990923,1,0,False
powery,CR2,C-7,plus_10pct,-12.287873464210351,-0.008130111774316762,-1,0,False
powery,CR2,C-8,plus_10pct,-46.404353326197544,-0.029869590012058498,-1,0,False
powery,CR2,C-9,plus_10pct,-65.81719354767692,-0.04993353991559974,-1,0,False
powery,CR2,C-10,plus_10pct,-77.86472124434606,-0.06415270668228404,-1,0,False
