dataset,feature,grid_value,target,mean_prediction
fp,ax_pow,1.0193975714285715,target_4,1.98075609852694e-05
fp,ax_pow,1.0249206785714287,target_1,3.174518912242229e-05
fp,ax_pow,1.0249206785714287,target_2,1626.1741583813632
fp,ax_pow,1.0249206785714287,target_3,704.697086045149
fp,ax_pow,1.0249206785714287,target_4,1.9964620819489404e-05
fp,ax_pow,1.0304437857142856,target_1,3.191657350251364e-05
fp,ax_pow,1.0304437857142856,target_2,1633.72568950362
fp,ax_pow,1.0304437857142856,target_3,705.1907596723364
fp,ax_pow,1.0304437857142856,target_4,2.0121680653709406e-05
fp,ax_pow,1.0359668928571428,target_1,3.2087957882604995e-05
fp,ax_pow,1.0359668928571428,target_2,1641.2772206258771
fp,ax_pow,1.0359668928571428,target_3,705.6844332995237
fp,ax_pow,1.0359668928571428,target_4,2.027874048792941e-05
fp,ax_pow,1.04149,target_1,3.225934226269635e-05
fp,ax_pow,1.04149,target_2,1648.8287517481338
fp,ax_pow,1.04149,target_3,706.178106926711
fp,ax_pow,1.04149,target_4,2.0435800322149417e-05
fp,clad_T,594.6175,target_1,3.097881532244053e-05
fp,clad_T,594.6175,target_2,1573.508686362383
fp,clad_T,594.6175,target_3,692.7693633119231
fp,clad_T,594.6175,target_4,1.8686599866064015e-05
fp,clad_T,595.997,target_1,3.097871513722335e-05
fp,clad_T,595.997,target_2,1576.1358259704698
fp,clad_T,595.997,target_3,694.1226462184021
fp,clad_T,595.997,target_4,1.8766676689182647e-05
fp,clad_T,597.3765,target_1,3.097861495200617e-05
fp,clad_T,597.3765,target_2,1578.7629655785568
fp,clad_T,597.3765,target_3,695.4759291248811
fp,clad_T,597.3765,target_4,1.8846753512301283e-05
fp,clad_T,598.756,target_1,3.0978514766788996e-05
fp,clad_T,598.756,target_2,1581.3901051866437
fp,clad_T,598.756,target_3,696.8292120313599
fp,clad_T,598.756,target_4,1.8926830335419923e-05
fp,clad_T,600.1355,target_1,3.097841458157181e-05
fp,clad_T,600.1355,target_2,1584.0172447947302
fp,clad_T,600.1355,target_3,698.182494937839
fp,clad_T,600.1355,target_4,1.9006907158538555e-05
fp,clad_T,601.515,target_1,3.097831439635464e-05
fp,clad_T,601.515,target_2,1586.644384402817
fp,clad_T,601.515,target_3,699.5357778443179
fp,clad_T,601.515,target_4,1.908698398165719e-05
fp,clad_T,602.8945,target_1,3.097821421113745e-05
fp,clad_T,602.8945,target_2,1589.271524010904
fp,clad_T,602.8945,target_3,700.8890607507968
fp,clad_T,602.8945,target_4,1.9167060804775828e-05
