dataset,feature_set,model,target,r2,mae,rmse,nmae,nrmse,r2_rank,nrmse_rank,nmae_rank,target_rank_score,target_model_rank
htgr,full,GradientBoosting,fluxQ2,0.9014735371301978,0.0010543925085850193,0.00135990409131084,0.04131410283525106,0.05328491716039583,1.0,1.0,1.0,1.0,1
htgr,full,GradientBoosting,fluxQ3,0.9040522364807995,0.0010072622552291352,0.0013059512476984118,0.039467405217483015,0.051170891016327914,1.0,1.0,1.0,1.0,1
htgr,full,GradientBoosting,fluxQ4,0.9024538085229055,0.0010005820171476811,0.0013272903925968128,0.03920565445501646,0.052007019516455415,1.0,1.0,1.0,1.0,1
microreactor,full,GradientBoosting,fluxQ1,0.6423860553588261,2.212571616912609e+17,2.73618847508772e+17,0.07902041488973603,0.09772101696741857,1.0,1.0,1.0,1.0,1
microreactor,full,GradientBoosting,fluxQ2,0.6557899560393992,2.4160928563602208e+17,2.958536446430868e+17,0.0894849206059341,0.10957542394188399,1.0,1.0,1.0,1.0,1
microreactor,full,GradientBoosting,fluxQ3,0.6871641149828331,2.4295157258671146e+17,2.901292064325925e+17,0.08676841878096837,0.1036175737259259,1.0,1.0,1.0,1.0,1
microreactor,full,GradientBoosting,fluxQ4,0.6471943607229809,2.381341781888263e+17,2.8614648757005178e+17,0.08504792078172368,0.10219517413216135,1.0,1.0,1.0,1.0,1
powery,full,Ridge,A-2,0.9887920126384923,7.885330599822027,11.035036922942428,0.01338062261955766,0.018725361326272106,1.0,1.0,1.0,1.0,1
powery,full,Ridge,B-1,0.9952273314415147,6.789482434566725,9.308408759825545,0.00940117529463403,0.012889050573235838,1.0,1.0,1.0,1.0,1
powery,full,Ridge,B-2,0.9947507755100451,7.427284438947136,10.145032923330962,0.009023750866602771,0.01232566900946622,1.0,1.0,1.0,1.0,1
powery,full,Ridge,B-4,0.9919184676761228,7.624525423866744,10.956599181611052,0.010997095928945558,0.0158030520664297,1.0,1.0,1.0,1.0,1
powery,full,Ridge,B-5,0.9933481225052007,7.8412670121771955,10.638885842254432,0.009936000095864067,0.01348098089050741,1.0,1.0,1.0,1.0,1
powery,full,Ridge,B-7,0.9955644387467164,6.292473050722419,8.18602488061115,0.00905044154603489,0.011773930389396382,1.0,1.0,1.0,1.0,1
powery,full,Ridge,B-8,0.9959409929921857,6.227671604256357,8.440275046725805,0.00850046679127089,0.011520562146348477,1.0,1.0,1.0,1.0,1
powery,full,Ridge,C-1,0.9972927880374608,10.887295495870148,15.059970122906584,0.007413392736260606,0.010254656278945274,1.0,1.0,1.0,1.0,1
powery,full,Ridge,C-10,0.9971039761212518,12.52305120215551,16.414087806913372,0.009107298038717923,0.011937026151064171,1.0,1.0,1.0,1.0,1
powery,full,Ridge,C-11,0.9955547070533504,13.883753795065203,18.7657021986361,0.009611267382981884,0.012990880141119321,1.0,1.0,1.0,1.0,1
powery,full,Ridge,C-12,0.9958860170211185,14.514947060434551,19.852573866684626,0.009609203317119175,0.013142825658186598,1.0,1.0,1.0,1.0,1
powery,full,Ridge,C-13,0.9946393547354097,17.587871238265926,24.1338848774034,0.009696031544700187,0.01330478861809871,1.0,1.0,1.0,1.0,1
powery,full,Ridge,C-14,0.994961644830863,17.8290256375408,23.240807210673996,0.012694985628183015,0.0165483924654659,1.0,1.0,1.0,1.0,1
powery,full,Ridge,C-15,0.9948971810670141,15.725472126205823,19.8052011597529,0.011567535997318221,0.014568553205330436,1.0,1.0,1.0,1.0,1
powery,full,Ridge,C-2,0.9976763690459074,12.06297720474926,16.480311263245422,0.00748637434385688,0.010227805070489697,1.0,1.0,1.0,1.0,1
powery,full,Ridge,C-3,0.9971005912793116,14.698917169853885,18.651420579253337,0.008060702955933512,0.010228206558227787,1.0,1.0,1.0,1.0,1
powery,full,Ridge,C-4,0.996531972737035,14.963669149659871,19.36484638700175,0.009381130432148388,0.012140347927908456,1.0,1.0,1.0,1.0,1
powery,full,Ridge,C-5,0.9965391965715041,13.084590882001285,17.55853885460649,0.00819186688629711,0.010992870492624238,1.0,1.0,1.0,1.0,1
powery,full,Ridge,C-6,0.9942649705326888,15.928294084753306,22.683345680112172,0.009782054821460254,0.013930539566656143,1.0,1.0,1.0,1.0,1
powery,full,Ridge,C-7,0.9946470241423954,17.14611805628294,24.34035698969446,0.010808988812827703,0.015344268920709598,1.0,1.0,1.0,1.0,1
powery,full,Ridge,C-8,0.9967519876846767,15.26457722209414,20.625827717726455,0.008874343240032183,0.011991205004481803,1.0,1.0,1.0,1.0,1
powery,full,Ridge,C-9,0.9969156289240643,14.16291654646544,19.041534058701934,0.009687785723950905,0.01302488094248178,1.0,1.0,1.0,1.0,1
rea,full,GradientBoosting,avg_Tcool,0.9957553171135992,0.03703529267010083,0.048821956470093616,0.008153238292989966,0.010748046426321727,1.0,1.0,1.0,1.0,1
rea,selected,GradientBoosting,burst_width,0.9853598762915067,0.007782957256319003,0.018697696276595614,0.004139870881020747,0.009945583125848732,1.0,1.0,2.0,1.25,1
rea,full,GradientBoosting,max_Tf,0.9943996436588411,1.9597813871252563,2.7735553744367722,0.00645514290884472,0.00913555788681414,1.0,1.0,1.0,1.0,1
rea,selected,KNN,max_power,0.9970691034381333,6.842066141061332,10.944295763243348,0.004963226734328,0.00793897927915911,1.0,1.0,1.0,1.0,1
xs,full,Ridge,k,0.9999347287510318,4.392055397100747e-05,6.21592137181258e-05,0.0009591315944052982,0.0013574251772826198,1.0,1.0,1.0,1.0,1
