dataset,full_best_model,selected_best_model,full_input_dim,selected_input_dim,dim_reduction_rate,full_mean_r2,selected_mean_r2,delta_r2_selected_minus_full,full_mean_nrmse,selected_mean_nrmse,delta_nrmse_selected_minus_full,screening_assessment
bwr,GradientBoosting,GradientBoosting,9,1,0.8888888888888888,0.9663074321720755,0.941670979020552,-0.02463645315152352,0.04030319338118548,0.05530688568818902,0.01500369230700354,usable_but_accuracy_loss
chf,RandomForest,KNN,6,2,0.6666666666666667,0.955647782372684,0.7612058736089968,-0.19444190876368717,0.024923192042366076,0.05783061545196042,0.03290742340959435,too_aggressive_keep_full_or_relax_threshold
fp,Ridge,Ridge,13,1,0.9230769230769231,0.9775273909250275,0.34056271997944665,-0.6369646709455808,0.01778091057208431,0.13319540914513828,0.11541449857305397,too_aggressive_keep_full_or_relax_threshold
heat,GradientBoosting,GradientBoosting,7,1,0.8571428571428572,0.9974652259661068,0.9062522021957966,-0.09121302377031015,0.011159089303009526,0.06786403307724982,0.0567049437742403,too_aggressive_keep_full_or_relax_threshold
htgr,GradientBoosting,GradientBoosting,8,3,0.625,0.9029671894254709,0.3573156568151888,-0.5456515326102822,0.051875001716661824,0.13299965723790555,0.08112465552124373,too_aggressive_keep_full_or_relax_threshold
microreactor,GradientBoosting,GradientBoosting,8,2,0.75,0.6581336217760099,0.16891880546885002,-0.48921481630715985,0.10327729719184744,0.16106895938561339,0.05779166219376594,too_aggressive_keep_full_or_relax_threshold
powery,Ridge,Ridge,6,5,0.16666666666666663,0.995286615967924,0.824461445401884,-0.17082517056603996,0.013052084245611184,0.06467650509705133,0.05162442085144015,too_aggressive_keep_full_or_relax_threshold
rea,GradientBoosting,GradientBoosting,4,2,0.5,0.9927422132912427,0.9858025031050397,-0.006939710186202985,0.009807755185591046,0.014858331879569912,0.005050576693978867,effective_with_small_loss
xs,Ridge,Ridge,8,4,0.5,0.9999347287510318,0.9566031012932354,-0.043331627457796396,0.0013574251772826198,0.035001308934885116,0.033643883757602494,usable_but_accuracy_loss
