dataset,feature_set,model,target,r2,mae,rmse,nmae,nrmse
xs,selected,Ridge,k,0.9566031012932354,0.0013077851638318826,0.0016027799387462612,0.028559249734274133,0.035001308934885116
xs,selected,KNN,k,0.9137987101219308,0.0017824810792900314,0.002258923029080861,0.03892560008931755,0.04933008012493139
xs,selected,RandomForest,k,0.9111951523010134,0.0017700265999994302,0.0022927826550209213,0.038653620719763894,0.05006950242446101
xs,selected,GradientBoosting,k,0.9347848849389468,0.0015131560019700418,0.0019648015096282168,0.03304411255175664,0.04290709096847079
bwr,full,Ridge,K-eff,0.6384508661124746,0.0454680737502069,0.05491629811516864,0.146879680030388,0.17740114393063913
bwr,full,Ridge,Max3Pin,0.8466138249235479,0.478476517692749,0.642471854829342,0.08524434664043276,0.11446140296264778
bwr,full,Ridge,Max4Pin,0.8396517035394145,0.5238161433325174,0.706979629753834,0.08538160445517806,0.11523710346435763
bwr,full,Ridge,F-delta-H,0.5050568523870216,0.11534811511236896,0.14410799364476912,0.15298158502966705,0.19112466000632508
bwr,full,Ridge,Max-Fxy,0.2754327322364054,0.028579804760821517,0.04177956736047564,0.06281275771609124,0.0918232249680783
bwr,full,KNN,K-eff,0.7326173190412872,0.026639705182670285,0.04722633331311927,0.08605667780937554,0.15255954681844966
bwr,full,KNN,Max3Pin,0.8221579354202141,0.47900538849479524,0.6917963142595981,0.0853385691243177,0.12324894250126459
bwr,full,KNN,Max4Pin,0.8160934430590058,0.5135365894330952,0.7571350166793797,0.08370604554736678,0.12341239065678561
bwr,full,KNN,F-delta-H,0.7325107506093085,0.08236086577369718,0.10594088090370016,0.10923191747174692,0.1405051470871355
bwr,full,KNN,Max-Fxy,0.20471805349449057,0.025050476876544225,0.04377086657244507,0.05505599313526202,0.09619970675262651
bwr,full,RandomForest,K-eff,0.9381404511318989,0.01443033687442398,0.022715430159497656,0.04661563791970533,0.07337973303882175
bwr,full,RandomForest,Max3Pin,0.9397363251359575,0.24612860413771398,0.40270665231319414,0.04384974240828683,0.07174535049228473
bwr,full,RandomForest,Max4Pin,0.9394323226651248,0.25749102564206644,0.43450540702961754,0.0419708273255202,0.07082402722569153
bwr,full,RandomForest,F-delta-H,0.9247544836520358,0.04082347945108133,0.05618892549611209,0.0541425456910893,0.07452112134762877
bwr,full,RandomForest,Max-Fxy,0.681949152439479,0.015439032980584196,0.027680431862122736,0.03393194061666856,0.060836113982687325
bwr,full,GradientBoosting,K-eff,0.9968251878690897,0.002659381114170198,0.005146080869043505,0.008590842208845454,0.01662385601835995
bwr,full,GradientBoosting,Max3Pin,0.9551501415129192,0.16711527417870617,0.3474093772028292,0.029772897591075393,0.061893706966475906
bwr,full,GradientBoosting,Max4Pin,0.9530326664233544,0.18050337899288438,0.38262441449855855,0.029421903666321823,0.06236746772592642
bwr,full,GradientBoosting,F-delta-H,0.9835159402941026,0.014978080823337028,0.026299197904585122,0.01986482867816582,0.03487957281775215
bwr,full,GradientBoosting,Max-Fxy,0.9430132247609119,0.006193538169797061,0.011716870336722916,0.01361217180175178,0.025751363377413
bwr,selected,Ridge,K-eff,0.6385906262221652,0.0455202390321923,0.05490568289168581,0.14704819431513216,0.17736685260268065
bwr,selected,Ridge,Max3Pin,0.8489324217306398,0.47671330735825096,0.6375975384344916,0.08493021688192606,0.11359300524398569
bwr,selected,Ridge,Max4Pin,0.8415681320810815,0.5215579560715359,0.7027421398666216,0.08501352177205149,0.11454639606627899
bwr,selected,Ridge,F-delta-H,0.506700389758336,0.114931959869258,0.14386852793718286,0.15242965499901592,0.1908070662296855
bwr,selected,Ridge,Max-Fxy,0.27188171972551056,0.02865930896819724,0.04188182041822599,0.06298749223779612,0.09204795696313403
bwr,selected,KNN,K-eff,0.9779406604773894,0.006935710714285717,0.013564814019840343,0.022405061100548254,0.04381966022690381
bwr,selected,KNN,Max3Pin,0.9391371562146228,0.18257107142857143,0.4047036473691305,0.03252646916596676,0.07210113083362382
bwr,selected,KNN,Max4Pin,0.9368764605234193,0.19476357142857148,0.44357840689242806,0.0317463034113401,0.07230291880887173
bwr,selected,KNN,F-delta-H,0.9435720540015673,0.03400714285714287,0.04865836757119869,0.04510231148162184,0.0645336439936322
